n,test_idx,logscore_total,logscore_lf,logscore_mf,logscore_hf
5,0,809.34814453125,25.3287353515625,66.1683578491211,717.85107421875
5,1,990.6580200195312,30.52650260925293,63.564945220947266,896.5665893554688
5,2,962.7188110351562,37.535709381103516,66.58660125732422,858.5964965820312
5,3,851.3120727539062,29.26715850830078,63.73397445678711,758.3109130859375
5,4,845.9124755859375,29.276594161987305,68.9398422241211,747.696044921875
5,5,897.771240234375,36.137874603271484,66.28162384033203,795.3517456054688
5,6,939.5009155273438,29.844633102416992,67.74053955078125,841.9157104492188
5,7,1064.23193359375,36.95263671875,73.76554870605469,953.5137329101562
5,8,927.0983276367188,28.57411003112793,59.02704620361328,839.4971923828125
5,9,902.6166381835938,28.755962371826172,56.194332122802734,817.6663208007812
5,10,970.5437622070312,35.979026794433594,74.74195098876953,859.8228149414062
5,11,827.66064453125,25.48455047607422,59.547813415527344,742.6282348632812
5,12,881.8167724609375,27.555641174316406,64.03651428222656,790.224609375
5,13,1015.021484375,40.2022819519043,77.0885009765625,897.730712890625
5,14,801.1033325195312,28.241931915283203,62.12680435180664,710.734619140625
5,15,986.78759765625,33.620601654052734,71.99917602539062,881.1677856445312
5,16,953.147705078125,34.39701843261719,76.5666275024414,842.1840209960938
5,17,949.098876953125,35.76758575439453,68.09172058105469,845.2395629882812
5,18,909.4189453125,26.057886123657227,62.58503341674805,820.7760009765625
5,19,1058.7840576171875,43.125858306884766,79.39234161376953,936.265869140625
5,20,894.3643798828125,30.867002487182617,66.6422348022461,796.8551635742188
5,21,979.2638549804688,32.79807662963867,70.24311828613281,876.22265625
5,22,1042.1444091796875,42.89995574951172,76.84141540527344,922.403076171875
5,23,890.7859497070312,27.52872657775879,65.99916076660156,797.258056640625
5,24,941.8491821289062,29.3376522064209,76.21276092529297,836.2987670898438
5,25,917.6865844726562,28.226457595825195,70.00144958496094,819.4586791992188
5,26,1001.7124633789062,37.825782775878906,73.77630615234375,890.1103515625
5,27,1072.6444091796875,42.6867561340332,74.08763885498047,955.8699340820312
5,28,911.4766845703125,30.5130558013916,64.55130004882812,816.4122924804688
5,29,928.090576171875,28.121200561523438,67.76858520507812,832.2008056640625
5,30,824.4357299804688,27.38730239868164,63.80159378051758,733.246826171875
5,31,931.7901611328125,31.2518310546875,65.57135772705078,834.9669799804688
5,32,865.407470703125,29.024717330932617,66.38810729980469,769.99462890625
5,33,939.27392578125,34.02608871459961,64.52281188964844,840.7250366210938
5,34,904.0317993164062,25.877321243286133,62.9310417175293,815.2234497070312
5,35,1096.2347412109375,43.935890197753906,76.94166564941406,975.357177734375
5,36,889.29638671875,27.083053588867188,65.88763427734375,796.32568359375
5,37,836.2610473632812,27.080204010009766,56.30193328857422,752.87890625
5,38,886.96630859375,27.52147102355957,64.33778381347656,795.1070556640625
5,39,842.136962890625,25.35361099243164,60.294517517089844,756.4888305664062
5,40,915.3824462890625,30.2861328125,72.93856811523438,812.15771484375
5,41,853.630859375,26.632553100585938,62.99000549316406,764.00830078125
5,42,1070.6590576171875,43.03329086303711,81.65213012695312,945.9736938476562
5,43,947.0202026367188,29.629966735839844,71.85453033447266,845.5357055664062
5,44,904.9959716796875,31.113252639770508,64.19843292236328,809.684326171875
5,45,929.6776123046875,30.37236213684082,61.15019607543945,838.1550903320312
5,46,909.0266723632812,26.61697769165039,69.10652923583984,813.3031616210938
5,47,950.5693359375,28.10219955444336,70.07771301269531,852.389404296875
5,48,853.9197387695312,28.87247085571289,62.299400329589844,762.7478637695312
5,49,920.753662109375,29.331754684448242,67.45848083496094,823.96337890625
10,0,756.3468627929688,26.175846099853516,61.382686614990234,668.788330078125
10,1,868.4423828125,28.08831024169922,56.150611877441406,784.2034301757812
10,2,811.4719848632812,29.11172866821289,53.38901138305664,728.9712524414062
10,3,777.7784423828125,26.733200073242188,57.68318176269531,693.362060546875
10,4,770.3877563476562,27.605472564697266,56.069820404052734,686.7124633789062
