n,test_idx,logscore_total,logscore_lf,logscore_mf,logscore_hf
5,0,863.9691162109375,27.829010009765625,71.49393463134766,764.6461791992188
5,1,1091.122802734375,37.201751708984375,66.6430435180664,987.2779541015625
5,2,1052.59619140625,34.94859313964844,83.64349365234375,934.0040893554688
5,3,928.0908203125,33.2010498046875,66.26571655273438,828.6240844726562
5,4,923.4319458007812,32.439151763916016,67.33488464355469,823.6578979492188
5,5,978.8287963867188,29.680009841918945,72.2376480102539,876.9111328125
5,6,1025.9036865234375,33.025108337402344,73.73318481445312,919.1454467773438
5,7,1153.857421875,40.29448699951172,87.75471496582031,1025.8082275390625
5,8,997.682373046875,28.825815200805664,67.7995376586914,901.0570068359375
5,9,969.2293090820312,28.50909423828125,69.63761138916016,871.0825805664062
5,10,1041.4210205078125,33.96416091918945,82.84064483642578,924.6162109375
5,11,894.4933471679688,25.679893493652344,70.7982177734375,798.0151977539062
5,12,951.5939331054688,30.84730339050293,65.06507873535156,855.6815795898438
5,13,1095.9417724609375,40.164878845214844,86.49121856689453,969.28564453125
5,14,863.0742797851562,32.358741760253906,77.34064483642578,753.3749389648438
5,15,1051.6966552734375,34.14242935180664,74.173583984375,943.380615234375
5,16,1028.304443359375,33.26118469238281,85.60404205322266,909.4392700195312
5,17,1046.015869140625,37.734806060791016,77.43108367919922,930.8499755859375
5,18,970.1314697265625,25.444351196289062,71.41368103027344,873.2734375
5,19,1145.6630859375,42.25351333618164,78.5129165649414,1024.8966064453125
5,20,982.2160034179688,32.1654052734375,71.26009368896484,878.79052734375
5,21,1054.7569580078125,36.2928581237793,75.137451171875,943.3267211914062
5,22,1102.1951904296875,37.24078369140625,83.49520111083984,981.459228515625
5,23,965.33544921875,28.26030921936035,68.15550994873047,868.919677734375
5,24,1003.124755859375,28.783123016357422,84.07875061035156,890.2628784179688
5,25,993.3613891601562,30.50503158569336,79.4231948852539,883.4331665039062
5,26,1091.30859375,36.90858840942383,79.24750518798828,975.1524658203125
5,27,1145.4365234375,39.354248046875,81.04786682128906,1025.034423828125
5,28,966.218994140625,29.0401668548584,66.71729278564453,870.4615478515625
5,29,997.937255859375,30.391368865966797,76.5033950805664,891.04248046875
5,30,901.0797729492188,29.76005744934082,66.95452880859375,804.3651733398438
5,31,1018.0225830078125,37.337703704833984,75.01960754394531,905.665283203125
5,32,931.8749389648438,26.276962280273438,73.7193832397461,831.8786010742188
5,33,996.45361328125,34.08180618286133,69.52632904052734,892.845458984375
5,34,969.2838745117188,24.451221466064453,65.30292510986328,879.5297241210938
5,35,1206.484375,36.38557434082031,87.77043151855469,1082.328369140625
5,36,943.222900390625,25.433780670166016,74.11669921875,843.6724243164062
5,37,924.20947265625,26.72823143005371,65.17535400390625,832.305908203125
5,38,973.7741088867188,32.790340423583984,79.239013671875,861.7447509765625
5,39,904.6118774414062,28.125856399536133,67.80831146240234,808.6776733398438
5,40,985.8287353515625,29.992883682250977,78.27861022949219,877.5572509765625
5,41,914.83984375,31.60463523864746,69.19416046142578,814.0410766601562
5,42,1162.099609375,52.32416534423828,82.50361633300781,1027.2718505859375
5,43,1030.7802734375,33.41938018798828,82.19629669189453,915.1646118164062
5,44,997.861328125,31.204456329345703,72.40931701660156,894.24755859375
5,45,991.736572265625,33.59208679199219,73.49113464355469,884.6533813476562
5,46,984.6193237304688,29.628093719482422,73.33966064453125,881.6515502929688
5,47,1012.80224609375,28.803993225097656,71.419189453125,912.5790405273438
5,48,921.756103515625,27.29144859313965,66.45416259765625,828.010498046875
5,49,1002.6773071289062,34.03685760498047,68.51529693603516,900.1251220703125
10,0,802.118408203125,30.250349044799805,66.58087921142578,705.2871704101562
10,1,948.3088989257812,36.20975112915039,59.83736038208008,852.2617797851562
10,2,892.1917724609375,29.286588668823242,68.2354965209961,794.669677734375
10,3,860.5902099609375,30.82086753845215,62.017704010009766,767.7516479492188
10,4,840.3580322265625,31.106748580932617,57.185279846191406,752.0659790039062
10,5,885.3421020507812,28.219404220581055,64.1248550415039,792.9978637695312
10,6,888.0621337890625,29.050844192504883,68.18590545654297,790.8253784179688
10,7,925.3306884765625,37.35204315185547,67.07769012451172,820.9009399414062
10,8,903.9511108398438,27.96660614013672,64.04934692382812,811.9351806640625
10,9,864.0847778320312,26.535287857055664,61.47835159301758,776.0711669921875
10,10,897.7762451171875,33.724971771240234,70.4319839477539,793.6192626953125
10,11,810.0342407226562,25.29948616027832,59.48627853393555,725.2484741210938
10,12,862.4215087890625,27.06901741027832,59.58464813232422,775.7678833007812
10,13,927.8798828125,38.5037956237793,69.33514404296875,820.0409545898438
10,14,804.2515869140625,30.755842208862305,67.64149475097656,705.854248046875
10,15,889.264404296875,32.46197509765625,63.46486282348633,793.3375244140625
10,16,893.7536010742188,32.58595275878906,69.87671661376953,791.2908935546875
10,17,938.75732421875,35.093902587890625,70.60700225830078,833.0564575195312
10,18,904.6232299804688,24.368497848510742,68.60540771484375,811.6492919921875
10,19,960.3076171875,41.9925537109375,68.93934631347656,849.3756713867188
10,20,885.4385375976562,31.523170471191406,68.5746078491211,785.3407592773438
10,21,931.6076049804688,33.24247741699219,65.635986328125,832.7291870117188
10,22,907.0164794921875,35.311248779296875,72.28826141357422,799.4169921875
10,23,874.9113159179688,26.56540870666504,58.313838958740234,790.0321044921875
10,24,879.8184204101562,24.68672752380371,77.08643341064453,778.0452880859375
10,25,875.4008178710938,27.8101863861084,65.95133972167969,781.6392822265625
10,26,880.1954956054688,34.84138488769531,67.88700103759766,777.4671020507812
10,27,933.7717895507812,36.205631256103516,63.599056243896484,833.9671630859375
10,28,859.2040405273438,28.026134490966797,54.74044418334961,776.4374389648438
10,29,868.1510620117188,28.0609188079834,68.39824676513672,771.69189453125
10,30,810.965576171875,26.072675704956055,61.36000442504883,723.5328979492188
10,31,909.2034912109375,36.236968994140625,69.64752197265625,803.3190307617188
10,32,838.432373046875,27.030200958251953,70.30103302001953,741.1011352539062
10,33,866.6248168945312,31.764848709106445,58.96981430053711,775.89013671875
10,34,885.7009887695312,23.17946434020996,61.89257049560547,800.6289672851562
10,35,974.609130859375,34.262203216552734,72.79534912109375,867.5515747070312
10,36,869.7120971679688,26.054983139038086,72.14372253417969,771.5133666992188
10,37,879.5036010742188,26.541767120361328,57.26304626464844,795.6987915039062
10,38,882.3663940429688,30.97140121459961,70.41031646728516,780.9846801757812
10,39,838.1183471679688,28.013736724853516,62.884544372558594,747.2200317382812
10,40,874.8515014648438,27.443470001220703,67.19895935058594,780.2090454101562
10,41,845.6317749023438,29.62660789489746,60.332645416259766,755.6724853515625
10,42,932.771484375,38.88515853881836,68.01962280273438,825.86669921875
10,43,937.51904296875,33.60554504394531,77.75617980957031,826.1573486328125
10,44,885.7647705078125,31.925832748413086,65.64700317382812,788.19189453125
