n,logscore_total_mean,logscore_lf_mean,logscore_hf_mean
5,196745.75,14708.369140625,182037.390625
10,55873.73828125,14625.1982421875,41248.54296875
15,38954.64453125,14901.705078125,24052.93359375
20,37547.69921875,14390.177734375,23157.525390625
25,33152.98828125,14053.4482421875,19099.537109375
30,32049.66015625,13686.091796875,18363.56640625
35,31125.025390625,13577.6796875,17547.34765625
40,27153.296875,13590.1044921875,13563.1904296875
