n,test_idx,logscore_total,logscore_lf,logscore_mf,logscore_hf
5,0,811.64794921875,23.538747787475586,72.96757507324219,715.1416015625
5,1,899.1520385742188,31.866952896118164,72.04242706298828,795.2426147460938
5,2,908.7711181640625,40.33108139038086,82.59609985351562,785.8439331054688
5,3,856.5431518554688,33.16746139526367,74.94930267333984,748.4263916015625
5,4,832.37109375,33.748992919921875,78.86036682128906,719.76171875
5,5,860.7034912109375,33.33292007446289,75.48139953613281,751.88916015625
5,6,892.22900390625,34.104209899902344,80.2227783203125,777.9020385742188
5,7,954.5137329101562,37.273529052734375,83.13932037353516,834.1008911132812
5,8,894.2369384765625,31.503299713134766,69.63079833984375,793.1028442382812
5,9,878.4891967773438,28.98846435546875,66.74710845947266,782.753662109375
5,10,920.4388427734375,38.087890625,83.50186920166016,798.84912109375
5,11,808.3678588867188,26.233003616333008,64.92878723144531,717.2060546875
5,12,865.8792114257812,31.543392181396484,74.07572937011719,760.2600708007812
5,13,959.8087158203125,41.80226135253906,89.93669128417969,828.0697631835938
5,14,823.4561157226562,34.481971740722656,78.14710235595703,710.8270263671875
5,15,924.678955078125,37.93011474609375,78.81390380859375,807.9349365234375
5,16,886.9873657226562,34.94422149658203,79.20390319824219,772.8392333984375
5,17,871.4326171875,32.3474235534668,75.93799591064453,763.1471557617188
5,18,887.6421508789062,26.88581657409668,70.18457794189453,790.5717163085938
5,19,961.664306640625,42.813316345214844,86.84467315673828,832.0062866210938
5,20,860.8668823242188,35.283870697021484,76.63274383544922,748.9502563476562
5,21,933.9249877929688,35.3621826171875,79.96713256835938,818.595703125
5,22,953.1185302734375,38.92300796508789,82.8798828125,831.3156127929688
5,23,861.3717651367188,26.022628784179688,76.55926513671875,758.7898559570312
5,24,895.5137939453125,28.4804744720459,80.98574829101562,786.0475463867188
5,25,893.126220703125,32.92285919189453,79.84947204589844,780.3538818359375
5,26,914.3734130859375,35.14952087402344,79.633544921875,799.59033203125
5,27,974.8011474609375,37.44258499145508,82.06836700439453,855.2901611328125
5,28,886.2861938476562,30.929323196411133,73.23809814453125,782.1187744140625
5,29,893.8251953125,33.848182678222656,77.8089828491211,782.1680297851562
5,30,835.20361328125,32.19336700439453,74.5857162475586,728.4244995117188
5,31,895.3055419921875,34.44364547729492,77.5751953125,783.2866821289062
5,32,848.6925659179688,28.693777084350586,70.63420104980469,749.3645629882812
5,33,889.9442749023438,37.319705963134766,76.14334869384766,776.481201171875
5,34,879.4634399414062,27.673091888427734,72.6781005859375,779.1122436523438
5,35,942.4757690429688,41.95348358154297,84.41214752197266,816.110107421875
5,36,861.7742919921875,29.491939544677734,75.67758178710938,756.6047973632812
5,37,832.0062866210938,30.61972999572754,64.3959732055664,736.9906005859375
5,38,860.9708862304688,30.077651977539062,71.50118255615234,759.3920288085938
5,39,845.0819702148438,28.87284278869629,69.75173950195312,746.4573974609375
5,40,867.5760498046875,29.46962547302246,75.9471206665039,762.1593017578125
5,41,850.8709106445312,27.77286148071289,71.53582000732422,751.5621948242188
5,42,958.7841186523438,37.709510803222656,85.85547637939453,835.2191162109375
5,43,902.4800415039062,29.686925888061523,75.8037338256836,796.9893798828125
5,44,866.8218994140625,30.801902770996094,73.84916687011719,762.1708374023438
5,45,894.0384521484375,31.931697845458984,68.92423248291016,793.1825561523438
5,46,869.1908569335938,25.987472534179688,75.42313385009766,767.7802734375
5,47,901.2280883789062,32.95193862915039,77.9197769165039,790.3563842773438
